archivo,periodo_esperado,periodos_vistos,registros,n_columnas,columnas_identicas_59,columnas_extra,punt_global_nulos,punt_global_no_numericos,punt_global_min,punt_global_max,punt_global_media,punt_global_fuera_escala_0_500,punt_matematicas_nulos,punt_matematicas_no_numericos,punt_matematicas_min,punt_matematicas_max,punt_matematicas_media,punt_matematicas_fuera_escala_0_100,punt_lectura_critica_nulos,punt_lectura_critica_no_numericos,punt_lectura_critica_min,punt_lectura_critica_max,punt_lectura_critica_media,punt_lectura_critica_fuera_escala_0_100,punt_c_naturales_nulos,punt_c_naturales_no_numericos,punt_c_naturales_min,punt_c_naturales_max,punt_c_naturales_media,punt_c_naturales_fuera_escala_0_100,punt_sociales_ciudadanas_nulos,punt_sociales_ciudadanas_no_numericos,punt_sociales_ciudadanas_min,punt_sociales_ciudadanas_max,punt_sociales_ciudadanas_media,punt_sociales_ciudadanas_fuera_escala_0_100,punt_ingles_nulos,punt_ingles_no_numericos,punt_ingles_min,punt_ingles_max,punt_ingles_media,punt_ingles_fuera_escala_0_100,depto_nulos,depto_nunique,depto_formato,depto_codigos,mcpio_nunique,duplicados_exactos,diag_depto_nulo,diag_global_cero,diag_global_nulo,diag_alguna_area_nula,cole_bilingue_nulos,nulos_por_columna_solo_mayor_0
Examen_Saber_11_20182_limpio.csv,20182,20182,609136,59,True,,0,0,0.0,478.0,251.17635963069003,0,0,0,0.0,100.0,50.134249166031886,0,0,0,0.0,100.0,52.6138826140632,0,0,0,0.0,100.0,49.61079627538021,0,0,0,0.0,100.0,48.47365941267631,0,1446,0,0.0,100.0,50.576659151870196,0,53817,33,digitos_sin_ceros_izquierda,11|13|15|17|18|19|20|23|25|27|41|44|47|5|50|52|54|63|66|68|70|73|76|8|81|85|86|88|91|94|95|97|99,1113,0,53817,5,0,1446,138036,cole_bilingue=138036|fami_numlibros=105338|fami_comelechederivados=96265|fami_estratovivienda=94691|fami_comecerealfrutoslegumbre=93806|estu_dedicacioninternet=93345|fami_comecarnepescadohuevo=92815|fami_tieneserviciotv=92354|estu_dedicacionlecturadiaria=92009|fami_tieneinternet=91215|fami_educacionpadre=90978|fami_educacionmadre=90788|fami_trabajolaborpadre=76804|estu_tiporemuneracion=76539|fami_tieneconsolavideojuegos=76095|fami_tieneautomovil=76084|fami_trabajolabormadre=75748|fami_tienehornomicroogas=75518|estu_horassemanatrabaja=75054|fami_tienemotocicleta=75043|fami_cuartoshogar=75037|fami_situacioneconomica=74784|fami_tienecomputador=74743|fami_tienelavadora=74650|fami_personashogar=74015|estu_inse_individual=72176|estu_nse_individual=72176|estu_nse_establecimiento=55730|cole_jornada=53836|cole_area_ubicacion=53817|cole_cod_depto_ubicacion=53817|cole_cod_mcpio_ubicacion=53817|cole_depto_ubicacion=53817|cole_mcpio_ubicacion=53817|cole_naturaleza=53817|cole_sede_principal=53817|estu_grado=52306|estu_cod_reside_depto=1786|estu_cod_reside_mcpio=1786|estu_depto_reside=1786|estu_mcpio_reside=1786|punt_ingles=1446|estu_genero=22|estu_repite=22|estu_agregado=1|estu_cod_depto_presentacion=1|estu_cod_mcpio_presentacion=1|estu_depto_presentacion=1|estu_mcpio_presentacion=1
Examen_Saber_11_20191_limpio.csv,20191,20191,66104,59,True,,0,0,9.0,470.0,271.9178567106378,0,0,0,0.0,100.0,54.86941788696599,0,0,0,0.0,100.0,56.09495643228851,0,0,0,0.0,100.0,53.80391504296261,0,0,0,0.0,100.0,53.203043688732905,0,116,0,0.0,100.0,53.08830393404862,0,44762,29,digitos_sin_ceros_izquierda,11|13|15|17|18|19|20|23|25|27|41|44|47|5|50|52|54|63|66|68|70|73|76|8|81|85|86|94|95,147,0,44762,0,0,116,48946,cole_bilingue=48946|fami_numlibros=46512|fami_comelechederivados=46289|fami_comecerealfrutoslegumbre=46182|fami_estratovivienda=46168|fami_comecarnepescadohuevo=46160|fami_tieneserviciotv=46157|estu_dedicacioninternet=46152|estu_dedicacionlecturadiaria=46134|fami_tieneinternet=46122|fami_educacionpadre=46088|fami_educacionmadre=46071|fami_tieneautomovil=45653|estu_tiporemuneracion=45650|fami_tieneconsolavideojuegos=45646|fami_tienehornomicroogas=45639|fami_trabajolaborpadre=45635|fami_tienemotocicleta=45630|fami_situacioneconomica=45628|fami_tienelavadora=45610|fami_trabajolabormadre=45591|fami_cuartoshogar=45590|fami_tienecomputador=45587|estu_horassemanatrabaja=45586|estu_inse_individual=45580|estu_nse_individual=45580|fami_personashogar=45546|estu_grado=44777|estu_nse_establecimiento=44766|cole_area_ubicacion=44762|cole_cod_depto_ubicacion=44762|cole_cod_mcpio_ubicacion=44762|cole_depto_ubicacion=44762|cole_jornada=44762|cole_mcpio_ubicacion=44762|cole_naturaleza=44762|cole_sede_principal=44762|punt_ingles=116|estu_cod_reside_depto=52|estu_cod_reside_mcpio=52|estu_depto_reside=52|estu_mcpio_reside=52|estu_genero=6|estu_repite=6
Examen_Saber_11_20192_limpio.csv,20192,20192,614789,59,True,,0,0,0.0,477.0,246.2193842114937,0,0,0,0.0,100.0,50.4590566844885,0,0,0,0.0,100.0,52.140973569793864,0,0,0,0.0,100.0,48.26929401794762,0,0,0,0.0,100.0,46.43738746138919,0,2894,0,0.0,100.0,48.27224605528726,0,60020,33,digitos_sin_ceros_izquierda,11|13|15|17|18|19|20|23|25|27|41|44|47|5|50|52|54|63|66|68|70|73|76|8|81|85|86|88|91|94|95|97|99,1113,0,60020,5,0,2894,149158,cole_bilingue=149158|fami_numlibros=105121|fami_comelechederivados=97073|fami_estratovivienda=94880|fami_comecerealfrutoslegumbre=93942|estu_dedicacioninternet=93266|fami_comecarnepescadohuevo=92869|fami_tieneserviciotv=92258|estu_dedicacionlecturadiaria=92066|fami_tieneinternet=91295|fami_educacionpadre=90849|fami_educacionmadre=90695|fami_trabajolaborpadre=78485|fami_tieneconsolavideojuegos=78256|estu_tiporemuneracion=78249|fami_tieneautomovil=78239|fami_situacioneconomica=78027|fami_tienehornomicroogas=77698|fami_trabajolabormadre=77663|fami_cuartoshogar=77302|fami_tienemotocicleta=77256|estu_inse_individual=77174|estu_nse_individual=77174|fami_tienecomputador=77123|estu_horassemanatrabaja=77032|fami_tienelavadora=76891|fami_personashogar=76133|estu_nse_establecimiento=61402|cole_jornada=60023|cole_area_ubicacion=60020|cole_cod_depto_ubicacion=60020|cole_cod_mcpio_ubicacion=60020|cole_depto_ubicacion=60020|cole_mcpio_ubicacion=60020|cole_naturaleza=60020|cole_sede_principal=60020|estu_grado=58222|punt_ingles=2894|estu_cod_reside_depto=2275|estu_cod_reside_mcpio=2275|estu_depto_reside=2275|estu_mcpio_reside=2275|estu_genero=153|estu_repite=153|estu_agregado=7|estu_cod_depto_presentacion=3|estu_cod_mcpio_presentacion=3|estu_depto_presentacion=3|estu_mcpio_presentacion=3
Examen_Saber_11_20211_limpio.csv,20211,20211,58708,59,True,,0,0,14.0,495.0,274.58109627308033,0,0,0,0.0,100.0,55.552088301424,0,0,0,0.0,100.0,56.593155958302106,0,0,0,0.0,100.0,53.75582544116645,0,0,0,0.0,100.0,53.58271445118212,0,97,0,0.0,100.0,55.47187388032963,0,43126,28,digitos_sin_ceros_izquierda,11|13|15|17|18|19|20|23|25|41|44|47|5|50|52|54|63|66|68|70|73|76|8|81|85|86|94|95,102,0,43126,0,0,97,45686,cole_bilingue=45686|fami_numlibros=43997|fami_comelechederivados=43866|fami_estratovivienda=43831|estu_dedicacioninternet=43795|fami_comecerealfrutoslegumbre=43795|fami_comecarnepescadohuevo=43778|estu_dedicacionlecturadiaria=43777|fami_tieneserviciotv=43775|fami_educacionmadre=43774|fami_educacionpadre=43762|fami_tieneinternet=43758|estu_tiporemuneracion=43667|fami_situacioneconomica=43651|fami_trabajolaborpadre=43638|fami_trabajolabormadre=43634|fami_cuartoshogar=43632|fami_tieneautomovil=43630|fami_tieneconsolavideojuegos=43628|fami_tienemotocicleta=43628|estu_horassemanatrabaja=43627|fami_tienehornomicroogas=43621|fami_tienelavadora=43619|fami_personashogar=43616|estu_inse_individual=43606|estu_nse_individual=43606|fami_tienecomputador=43605|cole_jornada=43180|estu_nse_establecimiento=43148|cole_area_ubicacion=43126|cole_cod_depto_ubicacion=43126|cole_cod_mcpio_ubicacion=43126|cole_depto_ubicacion=43126|cole_mcpio_ubicacion=43126|cole_naturaleza=43126|cole_sede_principal=43126|estu_grado=43125|punt_ingles=97|estu_cod_reside_depto=32|estu_cod_reside_mcpio=32|estu_depto_reside=32|estu_mcpio_reside=32|estu_genero=6|estu_repite=6
Examen_Saber_11_20212_limpio.csv,20212,20212,606030,59,True,,0,0,0.0,500.0,246.93063049684008,0,0,0,0.0,100.0,49.76115538834711,0,0,0,0.0,100.0,52.429557942676105,0,0,0,0.0,100.0,48.33237958516905,0,0,0,0.0,100.0,47.14724848604855,0,6220,0,0.0,100.0,49.09407145596106,0,64548,33,digitos_sin_ceros_izquierda,11|13|15|17|18|19|20|23|25|27|41|44|47|5|50|52|54|63|66|68|70|73|76|8|81|85|86|88|91|94|95|97|99,1114,0,64548,6,0,6220,157500,cole_bilingue=157500|fami_numlibros=108031|fami_comelechederivados=97092|fami_estratovivienda=94530|fami_comecerealfrutoslegumbre=93142|estu_dedicacioninternet=92890|fami_tieneserviciotv=92261|fami_comecarnepescadohuevo=92090|estu_dedicacionlecturadiaria=91726|fami_tieneinternet=91306|fami_educacionpadre=90754|fami_educacionmadre=90749|fami_tieneconsolavideojuegos=81859|fami_tieneautomovil=81854|fami_situacioneconomica=81748|estu_tiporemuneracion=81456|fami_tienehornomicroogas=81441|fami_trabajolaborpadre=81393|fami_cuartoshogar=80778|fami_tienelavadora=80766|fami_tienemotocicleta=80749|fami_trabajolabormadre=80745|fami_tienecomputador=80568|estu_horassemanatrabaja=80553|estu_inse_individual=80307|estu_nse_individual=80307|fami_personashogar=79825|estu_nse_establecimiento=65140|cole_jornada=64562|cole_area_ubicacion=64548|cole_cod_depto_ubicacion=64548|cole_cod_mcpio_ubicacion=64548|cole_depto_ubicacion=64548|cole_mcpio_ubicacion=64548|cole_naturaleza=64548|cole_sede_principal=64548|estu_grado=63077|punt_ingles=6220|estu_cod_reside_depto=227|estu_cod_reside_mcpio=227|estu_depto_reside=227|estu_mcpio_reside=227|estu_genero=98|estu_repite=98|estu_cod_depto_presentacion=1|estu_cod_mcpio_presentacion=1|estu_depto_presentacion=1|estu_mcpio_presentacion=1
Examen_Saber_11_20221_limpio.csv,20221,20221,73795,59,True,,0,0,82.0,500.0,267.8990446507216,0,0,0,0.0,100.0,54.02933803103191,0,0,0,0.0,100.0,55.79094789619893,0,0,0,0.0,100.0,52.4657768141473,0,0,0,0.0,100.0,51.710427535740905,0,184,0,0.0,100.0,54.57350124302074,0,53746,29,digitos_sin_ceros_izquierda,11|13|15|17|18|19|20|23|25|27|41|44|47|5|50|52|54|63|66|68|70|73|76|8|81|85|86|94|95,165,0,53746,0,0,184,58649,cole_bilingue=58649|fami_numlibros=54890|fami_comelechederivados=54668|fami_estratovivienda=54610|fami_comecerealfrutoslegumbre=54587|estu_dedicacioninternet=54571|fami_comecarnepescadohuevo=54557|fami_tieneserviciotv=54555|estu_dedicacionlecturadiaria=54549|fami_tieneinternet=54514|fami_educacionmadre=54502|fami_educacionpadre=54497|estu_tiporemuneracion=54414|fami_tieneautomovil=54414|fami_tieneconsolavideojuegos=54413|fami_situacioneconomica=54402|fami_tienehornomicroogas=54396|fami_tienemotocicleta=54387|fami_trabajolaborpadre=54372|fami_tienelavadora=54367|fami_trabajolabormadre=54366|estu_horassemanatrabaja=54365|fami_tienecomputador=54362|fami_cuartoshogar=54355|estu_inse_individual=54338|estu_nse_individual=54338|fami_personashogar=54328|estu_nse_establecimiento=53750|cole_area_ubicacion=53746|cole_cod_depto_ubicacion=53746|cole_cod_mcpio_ubicacion=53746|cole_depto_ubicacion=53746|cole_jornada=53746|cole_mcpio_ubicacion=53746|cole_naturaleza=53746|cole_sede_principal=53746|estu_grado=53582|punt_ingles=184|estu_cod_reside_depto=82|estu_cod_reside_mcpio=82|estu_depto_reside=82|estu_mcpio_reside=82|estu_genero=1|estu_repite=1
Examen_Saber_11_20222_limpio.csv,20222,20222,589183,59,True,,0,0,0.0,500.0,250.372032119053,0,0,0,0.0,100.0,50.56008065405825,0,0,0,0.0,100.0,52.76580451235015,0,0,0,0.0,100.0,49.182092830241196,0,0,0,0.0,100.0,47.87788174472108,0,4697,0,0.0,100.0,49.82662886707295,0,45477,33,digitos_sin_ceros_izquierda,11|13|15|17|18|19|20|23|25|27|41|44|47|5|50|52|54|63|66|68|70|73|76|8|81|85|86|88|91|94|95|97|99,1114,0,45477,4,0,4697,143449,cole_bilingue=143449|fami_numlibros=92071|fami_comelechederivados=82545|fami_estratovivienda=81695|fami_comecerealfrutoslegumbre=79173|estu_dedicacioninternet=78819|fami_tieneserviciotv=78325|fami_comecarnepescadohuevo=78144|estu_dedicacionlecturadiaria=77815|fami_tieneinternet=77343|fami_educacionmadre=76712|fami_educacionpadre=76576|fami_situacioneconomica=70913|fami_tieneconsolavideojuegos=70300|fami_tieneautomovil=70244|estu_tiporemuneracion=70189|fami_trabajolaborpadre=70001|fami_tienehornomicroogas=69840|fami_trabajolabormadre=69620|estu_horassemanatrabaja=69401|fami_cuartoshogar=69397|fami_tienemotocicleta=69325|fami_tienelavadora=69282|fami_tienecomputador=69210|estu_inse_individual=68728|estu_nse_individual=68728|fami_personashogar=68506|estu_nse_establecimiento=45551|cole_jornada=45485|cole_area_ubicacion=45477|cole_cod_depto_ubicacion=45477|cole_cod_mcpio_ubicacion=45477|cole_depto_ubicacion=45477|cole_mcpio_ubicacion=45477|cole_naturaleza=45477|cole_sede_principal=45477|estu_grado=43795|punt_ingles=4697|estu_cod_depto_presentacion=13|estu_cod_mcpio_presentacion=13|estu_depto_presentacion=13|estu_mcpio_presentacion=13|estu_genero=6|estu_repite=6|estu_cod_reside_depto=1|estu_cod_reside_mcpio=1|estu_depto_reside=1|estu_mcpio_reside=1
Examen_Saber_11_20231_limpio.csv,20231,20231,77555,59,True,,0,0,0.0,478.0,262.7276642382825,0,0,0,0.0,100.0,52.31607246470247,0,0,0,0.0,100.0,54.58901424795307,0,0,0,0.0,100.0,51.56986654632197,0,0,0,0.0,100.0,51.09025852620721,0,177,0,0.0,100.0,54.41471736152395,0,56903,29,digitos_sin_ceros_izquierda,11|13|15|17|18|19|20|23|25|27|41|44|47|5|50|52|54|63|66|68|70|73|76|8|81|85|86|94|95,151,0,56903,2,0,177,62337,cole_bilingue=62337|fami_numlibros=58733|fami_comelechederivados=58543|fami_comecerealfrutoslegumbre=58439|fami_comecarnepescadohuevo=58435|fami_estratovivienda=58414|estu_dedicacioninternet=58409|estu_dedicacionlecturadiaria=58374|fami_tieneserviciotv=58368|estu_tiporemuneracion=58341|fami_tieneinternet=58330|fami_tieneautomovil=58323|fami_tieneconsolavideojuegos=58315|fami_situacioneconomica=58308|fami_tienemotocicleta=58296|fami_educacionpadre=58286|fami_educacionmadre=58283|estu_horassemanatrabaja=58282|fami_tienehornomicroogas=58266|fami_tienelavadora=58227|fami_tienecomputador=58211|estu_inse_individual=58178|estu_nse_individual=58178|fami_cuartoshogar=58175|fami_trabajolaborpadre=58169|fami_trabajolabormadre=58153|fami_personashogar=58123|estu_nse_establecimiento=56908|cole_area_ubicacion=56903|cole_cod_depto_ubicacion=56903|cole_cod_mcpio_ubicacion=56903|cole_depto_ubicacion=56903|cole_jornada=56903|cole_mcpio_ubicacion=56903|cole_naturaleza=56903|cole_sede_principal=56903|estu_grado=56844|punt_ingles=177|estu_cod_depto_presentacion=1|estu_cod_mcpio_presentacion=1|estu_depto_presentacion=1|estu_mcpio_presentacion=1
Examen_Saber_11_20232_limpio.csv,20232,20232,602093,59,True,,0,0,0.0,500.0,252.1487826631434,0,0,0,0.0,100.0,50.95269667642707,0,0,0,0.0,100.0,52.830943060291354,0,0,0,0.0,100.0,49.57157449098395,0,0,0,0.0,100.0,48.29467706816057,0,5890,0,0.0,100.0,50.73120900096108,0,39179,33,digitos_sin_ceros_izquierda,11|13|15|17|18|19|20|23|25|27|41|44|47|5|50|52|54|63|66|68|70|73|76|8|81|85|86|88|91|94|95|97|99,1116,0,39179,7,0,5890,143781,cole_bilingue=143781|fami_comelechederivados=90403|fami_comecerealfrutoslegumbre=89064|fami_estratovivienda=88949|fami_numlibros=88275|estu_dedicacioninternet=85851|fami_comecarnepescadohuevo=85593|fami_tieneserviciotv=84953|estu_dedicacionlecturadiaria=84660|fami_tieneinternet=83655|fami_educacionmadre=83192|fami_educacionpadre=82905|fami_situacioneconomica=72569|fami_tieneconsolavideojuegos=71051|estu_tiporemuneracion=70842|fami_tieneautomovil=70840|fami_tienehornomicroogas=70391|fami_tienemotocicleta=70273|fami_trabajolaborpadre=70251|estu_inse_individual=70060|estu_nse_individual=70060|estu_horassemanatrabaja=70014|fami_cuartoshogar=69982|fami_trabajolabormadre=69923|fami_tienecomputador=69761|fami_tienelavadora=69761|fami_personashogar=68749|estu_nse_establecimiento=39249|cole_jornada=39180|cole_mcpio_ubicacion=39180|cole_area_ubicacion=39179|cole_cod_depto_ubicacion=39179|cole_cod_mcpio_ubicacion=39179|cole_depto_ubicacion=39179|cole_naturaleza=39179|cole_sede_principal=39179|estu_grado=38211|punt_ingles=5890|estu_genero=27|estu_repite=27|estu_cod_depto_presentacion=20|estu_cod_mcpio_presentacion=20|estu_depto_presentacion=20|estu_mcpio_presentacion=20
Examen_Saber_11_20241_limpio.csv,20241,20241,84072,59,True,,0,0,0.0,496.0,265.56530117042536,0,0,0,0.0,100.0,53.3218907603007,0,0,0,0.0,100.0,54.888333809116,0,0,0,0.0,100.0,51.93047625844514,0,0,0,0.0,100.0,51.90345180321629,0,150,0,0.0,100.0,54.35075427182384,0,63442,29,digitos_sin_ceros_izquierda,11|13|15|17|18|19|20|23|25|27|41|44|47|5|50|52|54|63|66|68|70|73|76|8|81|85|86|94|95,161,0,63442,2,0,150,84072,cole_bilingue=84072|fami_numlibros=65831|fami_comelechederivados=65603|fami_comecerealfrutoslegumbre=65511|estu_dedicacioninternet=65491|fami_comecarnepescadohuevo=65484|fami_tieneserviciotv=65478|estu_dedicacionlecturadiaria=65458|fami_tieneinternet=65442|estu_inse_individual=65418|estu_nse_individual=65418|fami_educacionmadre=65416|fami_educacionpadre=65396|fami_tieneautomovil=65237|fami_tieneconsolavideojuegos=65223|estu_tiporemuneracion=65220|fami_situacioneconomica=65216|fami_tienehornomicroogas=65216|fami_tienemotocicleta=65188|fami_tienelavadora=65185|fami_tienecomputador=65184|estu_horassemanatrabaja=65180|fami_trabajolabormadre=65142|fami_trabajolaborpadre=65123|fami_cuartoshogar=65122|fami_personashogar=65108|cole_area_ubicacion=63442|cole_cod_depto_ubicacion=63442|cole_cod_mcpio_ubicacion=63442|cole_depto_ubicacion=63442|cole_jornada=63442|cole_mcpio_ubicacion=63442|cole_naturaleza=63442|cole_sede_principal=63442|estu_nse_establecimiento=63442|estu_grado=62478|fami_estratovivienda=3138|punt_ingles=150|estu_cod_reside_depto=3|estu_cod_reside_mcpio=3|estu_depto_reside=3|estu_mcpio_reside=3|estu_genero=1|estu_repite=1
